image_path,class_idx,x1,y1,x2,y2
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_001.JPG,1,67,37,97,54
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_001.JPG,1,190,131,221,142
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_002.JPG,1,132,34,143,72
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_002.JPG,1,38,165,71,216
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_003.JPG,1,11,35,73,108
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_004.JPG,1,56,82,76,110
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_004.JPG,1,74,165,92,186
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_004.JPG,1,178,188,193,207
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_004.JPG,1,177,94,196,120
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_005.JPG,1,76,61,121,90
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_005.JPG,1,176,93,197,118
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_005.JPG,1,140,193,154,206
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_005.JPG,1,181,187,195,196
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_006.JPG,1,78,68,99,89
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_006.JPG,1,167,79,199,112
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_006.JPG,1,67,173,84,188
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_006.JPG,1,36,145,52,161
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_007.JPG,1,96,8,162,36
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_007.JPG,1,122,91,137,116
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_008.JPG,1,7,98,38,163
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_008.JPG,1,103,117,114,138
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_009.JPG,1,69,74,104,93
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_009.JPG,1,156,61,174,77
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_009.JPG,1,188,28,233,49
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_010.JPG,1,166,66,183,90
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_010.JPG,1,180,153,194,175
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Black_rot\black_rot_010.JPG,1,207,187,226,229
