Image,Class,BBox,Grad-CAM IoU,Lesion Coverage
black_rot_001.JPG,Black rot,"[58, 32, 84, 47]",0.0,0.0
black_rot_001.JPG,Black rot,"[166, 114, 193, 124]",0.0,0.0
black_rot_002.JPG,Black rot,"[115, 29, 125, 63]",0.0,0.0
black_rot_002.JPG,Black rot,"[33, 144, 62, 189]",0.0201,0.2092
black_rot_003.JPG,Black rot,"[9, 30, 63, 94]",0.107,0.4476
black_rot_004.JPG,Black rot,"[49, 71, 66, 96]",0.0339,1.0
black_rot_004.JPG,Black rot,"[64, 144, 80, 162]",0.023,1.0
black_rot_004.JPG,Black rot,"[155, 164, 168, 181]",0.001,0.0588
black_rot_004.JPG,Black rot,"[154, 82, 171, 105]",0.0178,0.578
black_rot_005.JPG,Black rot,"[66, 53, 105, 78]",0.0777,1.0
black_rot_005.JPG,Black rot,"[154, 81, 172, 103]",0.0316,1.0
black_rot_005.JPG,Black rot,"[122, 168, 134, 180]",0.0,0.0
black_rot_005.JPG,Black rot,"[158, 163, 170, 171]",0.0,0.0
black_rot_006.JPG,Black rot,"[68, 59, 86, 77]",0.0258,1.0
black_rot_006.JPG,Black rot,"[146, 69, 174, 98]",0.0566,0.8818
black_rot_006.JPG,Black rot,"[58, 151, 73, 164]",0.0,0.0
black_rot_006.JPG,Black rot,"[31, 126, 45, 140]",0.0,0.0
black_rot_007.JPG,Black rot,"[84, 7, 141, 31]",0.1059,0.9737
black_rot_007.JPG,Black rot,"[106, 79, 119, 101]",0.0228,1.0
black_rot_008.JPG,Black rot,"[6, 85, 33, 142]",0.1227,1.0
black_rot_008.JPG,Black rot,"[90, 102, 99, 120]",0.0129,1.0
black_rot_009.JPG,Black rot,"[60, 64, 91, 81]",0.042,1.0
black_rot_009.JPG,Black rot,"[136, 53, 152, 67]",0.0179,1.0
black_rot_009.JPG,Black rot,"[164, 24, 203, 42]",0.054,0.9672
black_rot_010.JPG,Black rot,"[145, 57, 160, 78]",0.0166,0.6667
black_rot_010.JPG,Black rot,"[157, 133, 169, 153]",0.0191,1.0
black_rot_010.JPG,Black rot,"[181, 163, 197, 200]",0.0329,0.7061
cedar_rust_001.JPG,Cedar apple rust,"[49, 87, 78, 113]",0.0077,0.1353
cedar_rust_001.JPG,Cedar apple rust,"[101, 79, 115, 98]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[125, 78, 162, 118]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[117, 134, 169, 176]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[140, 42, 164, 70]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[167, 70, 177, 83]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[113, 53, 128, 71]",0.0,0.0
cedar_rust_001.JPG,Cedar apple rust,"[83, 35, 92, 62]",0.0,0.0
cedar_rust_002.JPG,Cedar apple rust,"[148, 83, 177, 112]",0.0,0.0
cedar_rust_002.JPG,Cedar apple rust,"[89, 149, 113, 180]",0.0561,0.9489
cedar_rust_002.JPG,Cedar apple rust,"[161, 52, 171, 67]",0.0,0.0
cedar_rust_002.JPG,Cedar apple rust,"[83, 106, 105, 130]",0.0011,0.0265
cedar_rust_003.JPG,Cedar apple rust,"[70, 62, 106, 97]",0.0,0.0
cedar_rust_003.JPG,Cedar apple rust,"[59, 133, 104, 156]",0.0,0.0
cedar_rust_003.JPG,Cedar apple rust,"[113, 101, 127, 113]",0.0,0.0
cedar_rust_003.JPG,Cedar apple rust,"[142, 84, 163, 119]",0.0,0.0
cedar_rust_004.JPG,Cedar apple rust,"[76, 52, 117, 77]",0.0,0.0
cedar_rust_004.JPG,Cedar apple rust,"[109, 73, 144, 126]",0.0,0.0
cedar_rust_004.JPG,Cedar apple rust,"[112, 132, 146, 161]",0.0,0.0
cedar_rust_004.JPG,Cedar apple rust,"[87, 118, 103, 133]",0.0,0.0
cedar_rust_004.JPG,Cedar apple rust,"[124, 154, 158, 180]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[40, 82, 49, 98]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[51, 107, 85, 147]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[70, 80, 108, 117]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[97, 126, 145, 162]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[153, 92, 169, 110]",0.0,0.0
cedar_rust_005.JPG,Cedar apple rust,"[105, 37, 119, 48]",0.0,0.0
cedar_rust_006.JPG,Cedar apple rust,"[72, 131, 93, 153]",0.0,0.0
cedar_rust_006.JPG,Cedar apple rust,"[57, 90, 112, 123]",0.0,0.0
cedar_rust_006.JPG,Cedar apple rust,"[106, 138, 144, 165]",0.0,0.0
cedar_rust_006.JPG,Cedar apple rust,"[109, 68, 124, 93]",0.0,0.0
cedar_rust_006.JPG,Cedar apple rust,"[139, 58, 153, 92]",0.0,0.0
cedar_rust_007.JPG,Cedar apple rust,"[132, 63, 157, 107]",0.0806,0.9255
cedar_rust_007.JPG,Cedar apple rust,"[87, 60, 113, 99]",0.075,0.9329
cedar_rust_007.JPG,Cedar apple rust,"[106, 119, 147, 161]",0.0022,0.0186
cedar_rust_007.JPG,Cedar apple rust,"[161, 122, 190, 147]",0.0,0.0
cedar_rust_007.JPG,Cedar apple rust,"[98, 22, 120, 61]",0.0007,0.0105
cedar_rust_008.JPG,Cedar apple rust,"[71, 58, 112, 108]",0.0401,0.2741
cedar_rust_008.JPG,Cedar apple rust,"[133, 90, 175, 140]",0.0446,0.2976
cedar_rust_008.JPG,Cedar apple rust,"[106, 125, 147, 164]",0.0045,0.04
cedar_rust_008.JPG,Cedar apple rust,"[104, 30, 130, 49]",0.0381,0.9696
cedar_rust_009.JPG,Cedar apple rust,"[62, 107, 105, 154]",0.0531,0.3671
cedar_rust_009.JPG,Cedar apple rust,"[70, 159, 97, 187]",0.0595,1.0
cedar_rust_009.JPG,Cedar apple rust,"[119, 133, 168, 163]",0.0487,0.4476
cedar_rust_009.JPG,Cedar apple rust,"[122, 93, 185, 126]",0.0257,0.178
cedar_rust_010.JPG,Cedar apple rust,"[32, 99, 106, 131]",0.0361,0.2192
cedar_rust_010.JPG,Cedar apple rust,"[13, 122, 76, 165]",0.0174,0.0963
cedar_rust_010.JPG,Cedar apple rust,"[38, 34, 91, 70]",0.0266,0.1965
cedar_rust_010.JPG,Cedar apple rust,"[119, 25, 140, 44]",0.0,0.0
cedar_rust_010.JPG,Cedar apple rust,"[161, 62, 184, 90]",0.0,0.0
cedar_rust_010.JPG,Cedar apple rust,"[149, 171, 175, 195]",0.0,0.0
scab_001.JPG,Apple scab,"[56, 122, 79, 141]",0.0,0.0
scab_001.JPG,Apple scab,"[105, 89, 130, 113]",0.0209,0.4483
scab_001.JPG,Apple scab,"[181, 55, 197, 76]",0.012,0.4554
scab_001.JPG,Apple scab,"[84, 140, 102, 159]",0.0,0.0
scab_002.JPG,Apple scab,"[92, 108, 118, 132]",0.0056,0.117
scab_002.JPG,Apple scab,"[147, 70, 181, 98]",0.0,0.0
scab_002.JPG,Apple scab,"[27, 150, 42, 168]",0.0,0.0
scab_002.JPG,Apple scab,"[124, 65, 138, 81]",0.0,0.0
scab_003.JPG,Apple scab,"[75, 91, 142, 196]",0.3864,0.7758
scab_003.JPG,Apple scab,"[139, 10, 182, 54]",0.0,0.0
scab_003.JPG,Apple scab,"[147, 63, 168, 91]",0.0,0.0
scab_003.JPG,Apple scab,"[200, 152, 216, 182]",0.0,0.0
scab_004.JPG,Apple scab,"[82, 85, 190, 176]",0.4237,0.6777
scab_004.JPG,Apple scab,"[0, 91, 49, 132]",0.0003,0.002
scab_004.JPG,Apple scab,"[46, 124, 73, 147]",0.0,0.0
scab_004.JPG,Apple scab,"[91, 55, 104, 68]",0.0041,0.3077
scab_005.JPG,Apple scab,"[32, 75, 142, 183]",0.0657,0.1267
scab_005.JPG,Apple scab,"[119, 7, 140, 34]",0.0346,0.7725
scab_006.JPG,Apple scab,"[12, 125, 129, 207]",0.0749,0.1607
scab_007.JPG,Apple scab,"[30, 38, 70, 82]",0.1382,0.9869
scab_007.JPG,Apple scab,"[85, 74, 140, 124]",0.0,0.0
scab_007.JPG,Apple scab,"[131, 162, 147, 180]",0.0,0.0
scab_008.JPG,Apple scab,"[104, 158, 156, 204]",0.1452,0.7918
scab_008.JPG,Apple scab,"[45, 44, 90, 82]",0.0541,0.4281
scab_008.JPG,Apple scab,"[77, 76, 114, 129]",0.1426,0.923
scab_008.JPG,Apple scab,"[63, 116, 91, 134]",0.0402,1.0
scab_009.JPG,Apple scab,"[147, 53, 191, 80]",0.0,0.0
scab_009.JPG,Apple scab,"[89, 66, 157, 106]",0.1927,0.9066
scab_009.JPG,Apple scab,"[39, 104, 71, 141]",0.0858,0.9164
scab_009.JPG,Apple scab,"[84, 110, 101, 124]",0.019,1.0
scab_010.JPG,Apple scab,"[89, 114, 110, 143]",0.0485,1.0
scab_010.JPG,Apple scab,"[145, 146, 179, 171]",0.0673,0.9941
scab_010.JPG,Apple scab,"[23, 60, 45, 93]",0.0,0.0
